claim_id,applicant_name,state,district,village,claim_type,claimed_area,recorded_area,submission_date,status,days_pending,latitude,longitude
FRA-1001,Ramesh Kumar,Madhya Pradesh,Dhar,Example Village,Individual,8.5,8.2,2026-05-07,Approved,0,22.61961475704238,75.3084881311089
FRA-1025,Example Applicant,Madhya Pradesh,Dhar,Example Village,Individual,12.4,7.8,2026-01-02,Pending,245,22.608054741973714,75.25274604033433
FRA-1002,Sidhu Munda,Jharkhand,West Singhbhum,Chhota Nagpur,Individual,6.94,7.04,2026-08-21,Approved,0,22.55617947106995,85.81701712308355
FRA-1003,Birsa Singh,Madhya Pradesh,Dindori,Chandapur,Individual,1.95,2.02,2026-08-08,Approved,0,22.90468199095143,81.09880060983883
FRA-1004,Gautam Pradhan,Maharashtra,Gadchiroli,Durgapur,Community,10.82,10.91,2026-08-21,Approved,0,20.177460334249332,79.94388377112439
FRA-1005,Phulo Naik,Jharkhand,West Singhbhum,Rampur,Community,4.18,3.92,2026-08-13,Approved,0,22.58234615541915,85.79406918028045
FRA-1006,Rajesh Pradhan,Jharkhand,West Singhbhum,Amrapali,Individual,4.93,5.12,2026-08-11,Approved,0,22.62939817978016,85.81979808884493
FRA-1007,Anita Rathwa,Odisha,Sundargarh,Devgaon,Community,12.75,12.74,2026-07-06,Pending,40,22.206270186000022,84.04594123551333
FRA-1008,Somnath Patel,Madhya Pradesh,Dhar,Panchvati,Community,8.87,8.79,2026-08-20,Approved,0,22.684639691164435,75.30572416397226
FRA-1009,Sidhu Patel,Jharkhand,Simdega,Kalyanpur,Community,8.7,8.81,2026-08-05,Approved,0,22.65809265622808,84.51078108620135
FRA-1010,Pooja Bhilla,Odisha,Koraput,Sunderpur,Community,11.49,4.6,2026-08-19,Approved,0,18.7907290111595,82.72316595942848
FRA-1011,Birsa Bhoi,Chhattisgarh,Rajnandgaon,Devgaon,Community,4.79,4.5,2026-03-23,Pending,144,21.066458190954307,80.97781180904671
FRA-1012,Somnath Singh,Jharkhand,Simdega,Sunderpur,Individual,3.69,3.86,2025-11-27,Pending,269,22.713561049931222,84.45410460874277
FRA-1013,Kanhu Uraon,Chhattisgarh,Kanker,Durgapur,Individual,7.26,7.02,2026-06-10,Pending,69,20.249335064092293,81.56179160271847
FRA-1014,Sunita Kumar,Maharashtra,Nandurbar,Kalyanpur,Individual,6.08,6.17,2026-08-23,Approved,0,21.292765098954956,74.22845384410974
FRA-1015,Somnath Tudu,Chhattisgarh,Bastar,Chhota Nagpur,Community,2.82,1.41,2026-08-25,Approved,0,19.134459060696244,82.00802278191264
FRA-1016,Sunita Singh,Odisha,Koraput,Amrapali,Individual,9.38,9.24,2026-08-08,Approved,0,18.7726674160802,82.62740766986866
FRA-1017,Babu Tudu,Chhattisgarh,Dhamtari,Amrapali,Individual,5.16,4.95,2026-08-10,Approved,0,20.662463821057298,81.54918999419539
FRA-1018,Birsa Naik,Odisha,Koraput,Example Village,Individual,12.96,13.09,2026-08-08,Approved,0,18.78138948981602,82.68608307848056
FRA-1019,Pooja Soren,Jharkhand,Dumka,Kalyanpur,Individual,1.74,1.97,2026-08-23,Approved,0,24.347074239560868,87.19110475381271
FRA-1020,Sidhu Hembram,Odisha,Kandhamal,Sitapur,Individual,1.08,0.84,2026-08-15,Approved,0,20.184748709937086,83.9801291654789
FRA-1021,Suresh Kumar,Madhya Pradesh,Dhar,Chhota Nagpur,Individual,7.41,7.35,2026-08-06,Approved,0,22.534301747831275,75.21844427688949
FRA-1022,Birsa Pradhan,Chhattisgarh,Kanker,Example Village,Community,2.66,2.84,2026-08-19,Approved,0,20.266494251994597,81.503179445675
FRA-1023,Sidhu Bhoi,Odisha,Kandhamal,Chandapur,Individual,14.48,14.69,2026-08-24,Approved,0,20.33026086082014,83.97304197030408
FRA-1024,Devi Rathwa,Chhattisgarh,Bastar,Sunderpur,Individual,6.53,6.52,2026-08-19,Approved,0,19.025969063057776,81.85782585998614
FRA-1026,Babu Maravi,Maharashtra,Palghar,Example Village,Community,7.53,7.3,2026-08-13,Approved,0,19.73929896435317,72.81574236715255
FRA-1027,Pooja Soren,Odisha,Koraput,Chandapur,Individual,9.66,9.53,2026-08-06,Approved,0,18.83812969237993,82.62257840347428
FRA-1028,Phulo Uraon,Maharashtra,Palghar,Panchvati,Individual,9.73,9.72,2026-04-15,Pending,119,19.65381258423102,72.8575117547389
FRA-1029,Jano Naik,Madhya Pradesh,Balaghat,Chandapur,Individual,11.19,11.3,2026-04-24,Pending,117,21.835350346950673,80.27272719414468
FRA-1030,Manoj Patel,Chhattisgarh,Bastar,Panchvati,Individual,9.38,9.63,2026-08-09,Approved,0,19.187259115140282,81.89270730185939
FRA-1031,Kanhu Maravi,Madhya Pradesh,Dhar,Chandapur,Individual,3.83,3.56,2026-08-11,Approved,0,22.592508959149725,75.27560138060674
FRA-1032,Kamla Gond,Chhattisgarh,Rajnandgaon,Sunderpur,Community,14.94,14.83,2026-08-08,Approved,0,21.085584183110036,81.10110713285378
FRA-1033,Manoj Tudu,Odisha,Koraput,Chandapur,Individual,12.16,4.86,2026-08-23,Rejected,0,18.80057442564793,82.64982072611507
FRA-1034,Suresh Munda,Chhattisgarh,Bastar,Devgaon,Individual,6.28,6.21,2026-08-17,Approved,0,19.17793882614052,82.04543926610528
FRA-1035,Suresh Naik,Maharashtra,Nandurbar,Chhota Nagpur,Individual,10.9,11.1,2026-08-11,Approved,0,21.46493878774211,74.30764654442316
FRA-1036,Pooja Pradhan,Chhattisgarh,Bastar,Panchvati,Individual,1.63,1.8,2026-08-06,Approved,0,19.052909894296825,81.9555613540761
FRA-1037,Devi Hembram,Chhattisgarh,Bastar,Panchvati,Community,12.14,12.32,2026-08-13,Approved,0,19.198214214020602,81.89500591341195
FRA-1038,Suresh Uraon,Jharkhand,Latehar,Durgapur,Community,12.49,12.2,2026-08-22,Rejected,0,23.77490361570539,84.50662385258191
